Matched product,Product targets,Added as,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,Conversion rate
black covid mask,black covid mask,"Keyword: exact, phrase, broad",11,1,9.09,1.06,1.06,1,12.99,8.160123171670516,12.254716981132075,100
masks disposable 100 pack,mascarilla desechable,,70,2,2.86,2,1,0,0,0,0,0
mascarillas desechables,mascarilla desechable,,186,1,0.54,1,1,1,12.99,7.698229407236336,12.99,100
covid masks for women,covid mask,,7,1,14.29,1.64,1.64,0,0,0,0,0
4ply disposable face mask individually wrapped black,black disposable face masks,,17,1,5.88,1,1,0,0,0,0,0
black covid mask reusable,black covid mask,,1,1,100,1.06,1.06,0,0,0,0,0
level 3 face masks medical grade,medical mask,,3,1,33.33,0.75,0.75,0,0,0,0,0
black disposable face mask,black disposable face masks,,11,2,18.18,2.62,1.31,0,0,0,0,0
covid face masks for adults,covid mask,,2,1,50,1.64,1.64,0,0,0,0,0
disposable covid mask,covid mask,,5,1,20,1.64,1.64,0,0,0,0,0 
